frame_idx,time_s,peak_clean_db,peak_noisy_db,file_name
0,0.0,-300.0,-300.0,cir_frame_0000.npz
1,0.04831831529736519,-90.24368824757794,-90.21538284014395,cir_frame_0001.npz
2,0.09663663059473038,-90.61654174587262,-90.6345731858489,cir_frame_0002.npz
3,0.14495494961738586,-90.97714826498668,-90.98952702723685,cir_frame_0003.npz
4,0.19327326118946075,-91.32600608754109,-91.3095143262108,cir_frame_0004.npz
5,0.24159157276153564,-91.66363260377095,-91.61474129876937,cir_frame_0005.npz
6,0.28990989923477173,-91.99054387355149,-91.93451701011952,cir_frame_0006.npz
7,0.3382281959056854,-92.30725080290065,-92.35046867892189,cir_frame_0007.npz
8,0.3865465223789215,-92.61424840134482,-92.57864008764541,cir_frame_0008.npz
9,0.4348648488521576,-92.9120029980397,-92.8653336432953,cir_frame_0009.npz
10,0.4831831455230713,-93.200973418571,-93.1702198319332,cir_frame_0010.npz
11,0.5315014719963074,-93.48159199006707,-93.4326406295425,cir_frame_0011.npz
12,0.5798197984695435,-93.75426378577913,-93.81264879939381,cir_frame_0012.npz
13,0.6281381249427795,-94.01937175804049,-94.0021095539318,cir_frame_0013.npz
14,0.6764563918113708,-94.27728178728074,-94.2586042630405,cir_frame_0014.npz
15,0.7247747182846069,-94.52833202187159,-94.54133712253724,cir_frame_0015.npz
16,0.773093044757843,-94.77284890845716,-94.76856823832627,cir_frame_0016.npz
17,0.8214113712310791,-95.01113943084457,-95.06491274890351,cir_frame_0017.npz
18,0.8697296977043152,-95.24347805716832,-95.23074821640294,cir_frame_0018.npz
19,0.9180479645729065,-95.47013280424997,-95.46923135748659,cir_frame_0019.npz
20,0.9663662910461426,-95.69136201179407,-95.7346745613788,cir_frame_0020.npz
21,1.0146846771240234,-95.90739969662158,-95.94783235424957,cir_frame_0021.npz
22,1.0630029439926147,-96.11847394592948,-96.10736552793449,cir_frame_0022.npz
23,1.111321210861206,-96.32478606367079,-96.286380876909,cir_frame_0023.npz
24,1.159639596939087,-96.52653960138014,-96.50335591581867,cir_frame_0024.npz
25,1.2079578638076782,-96.72392215619502,-96.70398399993461,cir_frame_0025.npz
26,1.256276249885559,-96.91710580552517,-96.8816715347704,cir_frame_0026.npz
27,1.3045945167541504,-97.10626082461067,-97.08472524383524,cir_frame_0027.npz
28,1.3529127836227417,-97.2915424315297,-97.3237879953399,cir_frame_0028.npz
29,1.4012311697006226,-97.47310062238395,-97.50847616340118,cir_frame_0029.npz
30,1.4495494365692139,-97.65107297495038,-97.6469470873654,cir_frame_0030.npz
31,1.4978678226470947,-97.82560402780943,-97.88577720052565,cir_frame_0031.npz
32,1.546186089515686,-97.99680226097698,-97.98988849572753,cir_frame_0032.npz
